pruneDocFreq removing [acad sci] 1.#INF00
pruneDocFreq removing [academi vol] 1.#INF00
pruneDocFreq removing [acknowledg research] 1.#INF00
pruneDocFreq removing [acknowledg support] 1.#INF00
pruneDocFreq removing [acm confer] 1.#INF00
pruneDocFreq removing [acm pp] 1.#INF00
pruneDocFreq removing [activ analysi] 1.#INF00
pruneDocFreq removing [activ base] 1.#INF00
pruneDocFreq removing [activ comput] 1.#INF00
pruneDocFreq removing [activ context] 1.#INF00
pruneDocFreq removing [activ dai] 1.#INF00
pruneDocFreq removing [activ data] 1.#INF00
pruneDocFreq removing [activ direct] 1.#INF00
pruneDocFreq removing [activ exampl] 1.#INF00
pruneDocFreq removing [activ inform] 1.#INF00
pruneDocFreq removing [activ larg] 1.#INF00
pruneDocFreq removing [activ network] 1.#INF00
pruneDocFreq removing [activ social] 1.#INF00
pruneDocFreq removing [activ user] 1.#INF00
pruneDocFreq removing [ad social] 1.#INF00
pruneDocFreq removing [addit inform] 1.#INF00
pruneDocFreq removing [aim provid] 1.#INF00
pruneDocFreq removing [aim social] 1.#INF00
pruneDocFreq removing [al algorithm] 1.#INF00
pruneDocFreq removing [al commun] 1.#INF00
pruneDocFreq removing [al model] 1.#INF00
pruneDocFreq removing [al network] 1.#INF00
pruneDocFreq removing [al propos] 1.#INF00
pruneDocFreq removing [al social] 1.#INF00
pruneDocFreq removing [algorithm base] 1.#INF00
pruneDocFreq removing [algorithm cluster] 1.#INF00
pruneDocFreq removing [algorithm gener] 1.#INF00
pruneDocFreq removing [algorithm input] 1.#INF00
pruneDocFreq removing [algorithm number] 1.#INF00
pruneDocFreq removing [algorithm perform] 1.#INF00
pruneDocFreq removing [algorithm research] 1.#INF00
pruneDocFreq removing [algorithm set] 1.#INF00
pruneDocFreq removing [algorithm work] 1.#INF00
pruneDocFreq removing [allow differ] 1.#INF00
pruneDocFreq removing [allow inform] 1.#INF00
pruneDocFreq removing [allow network] 1.#INF00
pruneDocFreq removing [allow social] 1.#INF00
pruneDocFreq removing [allow user] 1.#INF00
pruneDocFreq removing [analys network] 1.#INF00
pruneDocFreq removing [analyz analysi] 1.#INF00
pruneDocFreq removing [analyz data] 1.#INF00
pruneDocFreq removing [analyz network] 1.#INF00
pruneDocFreq removing [analyz relat] 1.#INF00
pruneDocFreq removing [appli algorithm] 1.#INF00
pruneDocFreq removing [appli model] 1.#INF00
pruneDocFreq removing [applic analysi] 1.#INF00
pruneDocFreq removing [applic data] 1.#INF00
pruneDocFreq removing [applic introduct] 1.#INF00
pruneDocFreq removing [applic network] 1.#INF00
pruneDocFreq removing [applic social] 1.#INF00
pruneDocFreq removing [applic user] 1.#INF00
pruneDocFreq removing [approach analysi] 1.#INF00
pruneDocFreq removing [approach analyz] 1.#INF00
pruneDocFreq removing [approach base] 1.#INF00
pruneDocFreq removing [approach behavior] 1.#INF00
pruneDocFreq removing [approach cluster] 1.#INF00
pruneDocFreq removing [approach commun] 1.#INF00
pruneDocFreq removing [approach exist] 1.#INF00
pruneDocFreq removing [approach includ] 1.#INF00
pruneDocFreq removing [approach person] 1.#INF00
pruneDocFreq removing [approach problem] 1.#INF00
pruneDocFreq removing [approach process] 1.#INF00
pruneDocFreq removing [approach propos] 1.#INF00
pruneDocFreq removing [approach relat] 1.#INF00
pruneDocFreq removing [approach result] 1.#INF00
pruneDocFreq removing [approach role] 1.#INF00
pruneDocFreq removing [approach set] 1.#INF00
pruneDocFreq removing [approach social] 1.#INF00
pruneDocFreq removing [area work] 1.#INF00
